"","Child","X","layer","age","aq","priorByMean","priorByStd","priorByMaxmin","MeanCompl","MeanMeaning","MeanTracing","MeanColoring","MeanScribble"
"53","P46",258,2,60,17.1428571428571,0.986546374548217,0.374226512494124,1.1608573221166,57.2619047619048,69.1904761904762,16.6190476190476,30.4285714285714,24.8571428571429
"54","P47",259,2,69,27,0.6390506243224,0.297983072590348,1.0640311186481,71.6428571428571,83.6428571428571,14.9285714285714,14.9642857142857,11.3035714285714
"55","P48",260,2,47,18.3673469387755,0.728812215468827,0.388877189858898,1.40646703158396,19.6774193548387,28.741935483871,18.1935483870968,38.5806451612903,56.1935483870968
"56","P50",261,2,26,10.7142857142857,0.360220807288947,0.164645581060566,0.552390917259468,23.9,27.1333333333333,19.5666666666667,24.6666666666667,60.65
"57","P51",262,2,37,22,0.927399352846934,0.383260968732739,1.27363508483093,44.9838709677419,54.6451612903226,37.4193548387097,37.7096774193548,35.6129032258064
"58","P52",263,2,27,14,0.638835964862355,0.434806000760139,1.48793451887132,20.6612903225806,17.1935483870968,19.3225806451613,25.4838709677419,58.258064516129
"59","P53",264,2,35,17,0.894962431434212,0.326642439746889,1.20095566056308,68.7333333333333,81.2,14.4666666666667,35.2,14
"60","P54",265,2,41,16,0.751798966550015,0.372988689003122,1.246285317964,21.1666666666667,20.0740740740741,16.1481481481481,20.5555555555556,56.6851851851852
"61","P55",266,2,49,11,0.552378141437253,0.284418758901225,0.912393224573335,14.0384615384615,48.5,20.3076923076923,66.7307692307692,31.0384615384615
"62","P56",267,2,73,23,0.431169379731797,0.222892918939183,0.789066202425588,58.9354838709677,76,24.6774193548387,27.258064516129,14.9193548387097
"63","P57",268,2,90,16,0.62257189061343,0.298073873877891,0.915749686140903,64.2222222222222,76.0740740740741,22.2962962962963,22.8148148148148,20.7777777777778
"64","P58",269,2,99,14.2857142857143,1.04717896996156,0.488463053332508,1.45286721010173,63.5967741935484,86.8387096774194,11.8709677419355,32.3870967741936,10.6612903225806
"65","P59",270,2,49,25,0.569996270164065,0.320292201259013,0.934155296906285,49.7,65.4333333333333,19.5333333333333,72.8666666666667,25.3166666666667
"66","P60",271,2,75,30,0.884217928844977,0.416287451693732,1.29743604709343,54.0666666666667,62.3,23.3666666666667,30.1,24.7333333333333
"67","P61",272,2,57,17,0.953326921531611,0.229508200698482,0.562144266131066,22.5714285714286,54.3571428571429,24.0714285714286,71.9285714285714,23.6428571428571
"68","P62",273,2,73,27,1.01565550653558,0.479981554782756,1.53470904876191,38.5,32.8709677419355,15.9677419354839,29.3225806451613,39.2258064516129
"69","P63",274,2,67,17,0.995689802557799,0.405181983038086,1.57112456392649,15.546875,64.03125,20.5625,90.90625,14.46875
"70","P64",275,2,48,12,0.764715373279645,0.277427444300905,0.837547288315847,19.65,46,19.5,42.7666666666667,28.3666666666667
"71","P65",276,2,56,32,0.992449208641123,0.360961965832562,1.19347444454464,50.25,60.9722222222222,16.8611111111111,28.7222222222222,28.0694444444444
"72","P66",277,2,83,11.9047619047619,1.01445633303803,0.294880376134984,0.988272565922324,53.9852941176471,69.4117647058823,12.6764705882353,47.3235294117647,16.4558823529412
"73","P67",278,2,64,9,0.921644542139021,0.472403686232957,1.46778751706313,55.7058823529412,76.2352941176471,13.8823529411765,13.8529411764706,14.1764705882353
"74","P68",279,2,70,20,0.859118935326089,0.438792040530887,1.42189300818242,70.46875,84.875,17,28.8125,9.921875
"75","P70",280,2,65,15,1.03459181855714,0.347724002990751,1.09572056761802,36.4090909090909,61.030303030303,13.3636363636364,43.3636363636364,20.2272727272727
"76","P71",281,2,56,11,0.80758882655352,0.394931907059027,1.24586356280676,64.9594594594595,65.027027027027,10.3513513513514,16.027027027027,21.1081081081081
"77","P72",282,2,50,15,0.987209726241078,0.312387174822977,0.956109584303601,15.0588235294118,48.7941176470588,18.3823529411765,80.9411764705882,18.8970588235294
"78","P73",283,2,76,19,0.925298738938128,0.280701147897123,1.01010019546825,54.1944444444444,69.9166666666667,14.1944444444444,40.9444444444444,18.4305555555556
"79","P74",284,2,63,23,0.664937575303272,0.249173897408443,0.871607202537333,18.5857142857143,60.1428571428571,30,85,19.2714285714286
"80","P75",285,2,42,15.2173913043478,0.610121746686583,0.365049981643759,1.19618018524109,19.5694444444444,26.75,18.9722222222222,20,56.0277777777778
"81","P76",286,2,35,36,0.894714297035332,0.377574945867252,1.26992095245089,15.7857142857143,54.3714285714286,29.5142857142857,78.2285714285714,22.4
"82","P77",287,2,60,10,0.819001001601918,0.356696591624489,1.05324866419817,60.2666666666667,72.5666666666667,18.8333333333333,15.0333333333333,16.2166666666667
"83","P78",288,2,36,26.6666666666667,0.181428535574886,0.067213947121363,0.186515882001404,32.0416666666667,38.0833333333333,22.625,15,35.1875
"84","P79",289,2,39,24.4897959183673,0.373770486268725,0.135735024160768,0.49753853023389,10.8666666666667,13.6333333333333,6.06666666666667,32.5666666666667,63.05
"85","P8",290,2,31,20.4081632653061,0.248656312365628,0.150489651206295,0.469795048514105,26.5689655172414,25.5862068965517,17.6896551724138,18.2068965517241,47.1724137931034
"86","P80",291,2,82,6,0.891321114370101,0.337346398527948,1.06929705891685,65.8392857142857,84.3214285714286,12,15.25,10.6071428571429
"87","P81",292,2,59,19.3877551020408,0.777263012566762,0.348457821741786,1.30855717646032,30.1538461538462,64.0512820512821,15.8205128205128,66.5128205128205,14.8205128205128
"88","P82",293,2,78,23,0.790671085875296,0.271137549835924,0.896693501794585,59.8870967741936,77.1290322580645,10.4838709677419,13.1935483870968,9.09677419354839
"89","P83",294,2,74,17,0.368158563925741,0.250308885655032,0.965355041797165,49.390625,67.75,18.71875,43.6875,15.953125
"90","P84",295,2,38,21,1.01075526746317,0.331719131562583,1.04235932258582,33.1944444444444,36.6111111111111,15.0555555555556,13.1944444444444,40.2638888888889
"91","P85",296,2,80,19,0.893904306316614,0.300784824205222,1.11723215695547,65.8472222222222,79,17.1944444444444,29.6388888888889,15.6111111111111
"92","P86",297,2,49,16,0.491984267912286,0.223716065808104,0.740676993632764,20.0735294117647,30.8529411764706,19.1176470588235,28.2352941176471,52.7205882352941
"93","P88",298,2,57,38,0.88123666306149,0.365584500371754,1.25871738028941,50.4864864864865,62.9189189189189,20.6216216216216,15.3243243243243,18.6216216216216
"94","P89",299,2,63,13.8297872340426,0.803581381128099,0.330094528731536,1.06638766209271,25.4166666666667,71.6944444444444,26.2222222222222,81.9722222222222,20.875
"95","P90",300,2,66,10,0.908056371457088,0.433761186808917,0.931910981555881,35.4210526315789,75.0526315789474,33.2631578947368,54.8421052631579,19.1052631578947
"96","P91",301,2,58,11.2244897959184,0.798813836058964,0.290331892994643,1.03900756939867,70.1034482758621,82.1034482758621,14.3793103448276,27.3448275862069,18.1896551724138
"97","P93",302,2,55,16,0.857599870903923,0.29571933047462,0.9894893934901,24.8815789473684,59.1052631578947,13.9736842105263,80.7105263157895,15.5263157894737
"98","P94",303,2,63,31,0.919454179228939,0.413493195865793,1.46274875092612,36.7794117647059,61.3529411764706,17.1470588235294,75.4705882352941,17.1470588235294
"99","P95",304,2,75,10,0.813595082101731,0.389062721193401,1.32309789574856,63.375,77.25,0,15.625,0
"100","P96",305,2,45,12,0.956289501736914,0.374255447872832,1.2788064855322,26.5540540540541,26.7297297297297,18.3513513513514,11.9189189189189,43.9864864864865
"101","P97",306,2,61,27.5510204081633,0.954731629390956,0.45344015990696,1.47216239810343,34.5,41.2857142857143,13.5714285714286,22.0571428571429,53.3714285714286
"102","P98",307,2,36,11.4583333333333,0.72168116951515,0.416691955486477,1.21720478650767,24.15625,45.34375,30.75,50.09375,31.890625
"103","P99",308,2,52,23.4042553191489,0.596646968748804,0.257020811075313,0.85930732525316,22.8235294117647,46.3823529411765,15,63.4117647058824,27.25
