,age_group,image_url,pic_class,pic_type,layer,age,aq,dist
2347,4,P11_image-6_type-I_class-C.JPG,class-C,type-I,3,94,34.6938775510204,0.06149831188956867
2348,2,P12_image-2_type-S_class-F.JPG,class-F,type-S,3,46,9.0,0.8734227273974546
2349,2,P12_image-3_type-S_class-H.JPG,class-H,type-S,3,46,9.0,1.4524776692359063
2350,2,P12_image-4_type-I_class-F.JPG,class-F,type-I,3,46,9.0,0.4875751963095407
2351,2,P12_image-5_type-O_class-M.JPG,class-M,type-O,3,46,9.0,0.46677367802884673
2352,2,P12_image-6_type-O_class-H.JPG,class-H,type-O,3,46,9.0,1.0276737428531098
2353,4,P95_image-1_type-S_class-C.JPG,class-C,type-S,3,75,10.0,0.16848246231932185
2354,4,P95_image-2_type-O_class-C.JPG,class-C,type-O,3,75,10.0,0.017068345585985467
2355,4,P95_image-3_type-I_class-M.JPG,class-M,type-I,3,75,10.0,0.10241017436257716
2356,4,P95_image-5_type-I_class-H.JPG,class-H,type-I,3,75,10.0,0.05471532583660221
2357,4,P95_image-6_type-O_class-F.JPG,class-F,type-O,3,75,10.0,0.05170883603502774
2358,2,P118_image-1_type-S_class-F.JPG,class-F,type-S,3,54,17.7083333333333,0.48315402400878293
2359,2,P118_image-2_type-I_class-M.JPG,class-M,type-I,3,54,17.7083333333333,0.10445767491354485
2360,2,P118_image-3_type-O_class-F.JPG,class-F,type-O,3,54,17.7083333333333,0.11614033271965762
2361,2,P118_image-4_type-S_class-C.JPG,class-C,type-S,3,54,17.7083333333333,0.37106083180997795
2362,2,P118_image-5_type-O_class-H.JPG,class-H,type-O,3,54,17.7083333333333,0.2182574036541699
2363,2,P118_image-6_type-I_class-C.JPG,class-C,type-I,3,54,17.7083333333333,0.10412402857846437
2364,1,P8_image-1_type-I_class-C.JPG,class-C,type-I,4,31,20.4081632653061,1.115509189775753
2365,1,P8_image-2_type-I_class-F.JPG,class-F,type-I,4,31,20.4081632653061,0.9310739144091619
2366,1,P8_image-3_type-O_class-M.JPG,class-M,type-O,4,31,20.4081632653061,0.5524444165041222
2367,1,P8_image-4_type-O_class-H.JPG,class-H,type-O,4,31,20.4081632653061,0.09424313842402521
2368,1,P8_image-5_type-S_class-H.JPG,class-H,type-S,4,31,20.4081632653061,1.018490708782124
2369,1,P8_image-6_type-S_class-F.JPG,class-F,type-S,4,31,20.4081632653061,1.1470826254711073
2370,3,P10_image-1_type-S_class-C.JPG,class-C,type-S,4,68,11.2244897959184,1.4860139412315863
2371,3,P10_image-2_type-O_class-F.JPG,class-F,type-O,4,68,11.2244897959184,1.009727656767778
2372,3,P10_image-3_type-I_class-M.JPG,class-M,type-I,4,68,11.2244897959184,0.46505513300393875
2373,3,P10_image-4_type-O_class-C.JPG,class-C,type-O,4,68,11.2244897959184,0.0360293647340848
2374,3,P10_image-5_type-I_class-H.JPG,class-H,type-I,4,68,11.2244897959184,0.9617439691566939
2375,3,P10_image-6_type-S_class-M.JPG,class-M,type-S,4,68,11.2244897959184,0.13098313564238762
2376,2,P13_image-1_type-S_class-M.JPG,class-M,type-S,4,58,18.0,0.24913780523695628
2377,2,P13_image-2_type-I_class-F.JPG,class-F,type-I,4,58,18.0,0.27968134728100724
2378,2,P13_image-3_type-I_class-H.JPG,class-H,type-I,4,58,18.0,1.2547352536244067
2379,2,P13_image-4_type-O_class-M.JPG,class-M,type-O,4,58,18.0,0.08493672820026188
2380,1,P14_image-1_type-O_class-F.JPG,class-F,type-O,4,38,20.0,0.16680465838479108
2381,1,P14_image-2_type-I_class-M.JPG,class-M,type-I,4,38,20.0,0.5938221898276721
2382,1,P14_image-3_type-O_class-C.JPG,class-C,type-O,4,38,20.0,0.05017937467838618
2383,1,P14_image-4_type-I_class-H.JPG,class-H,type-I,4,38,20.0,1.5266973566110207
2384,1,P14_image-5_type-S_class-M.JPG,class-M,type-S,4,38,20.0,0.18126690136429646
2385,1,P14_image-6_type-S_class-C.JPG,class-C,type-S,4,38,20.0,0.1509671394837141
2386,1,P15_image-1_type-I_class-M.JPG,class-M,type-I,4,29,-1.0,0.40206849441875336
2387,1,P15_image-2_type-I_class-C.JPG,class-C,type-I,4,29,-1.0,1.2831148268657735
2388,1,P15_image-3_type-S_class-F.JPG,class-F,type-S,4,29,-1.0,0.3644831326367354
2389,1,P15_image-4_type-O_class-F.JPG,class-F,type-O,4,29,-1.0,1.248443732475261
2390,1,P15_image-5_type-O_class-H.JPG,class-H,type-O,4,29,-1.0,0.9941706388885692
2391,1,P15_image-6_type-S_class-C.JPG,class-C,type-S,4,29,-1.0,1.0015503197671505
2392,3,P16_image-1_type-O_class-H.JPG,class-H,type-O,4,62,35.0,0.14091963369211868
2393,3,P16_image-2_type-I_class-C.JPG,class-C,type-I,4,62,35.0,0.6239029295500065
2394,3,P16_image-3_type-I_class-F.JPG,class-F,type-I,4,62,35.0,0.9255376471313685
2395,3,P16_image-4_type-O_class-M.JPG,class-M,type-O,4,62,35.0,0.36791416411037037
2396,3,P16_image-5_type-S_class-F.JPG,class-F,type-S,4,62,35.0,0.18513737016369802
2397,3,P16_image-6_type-S_class-H.JPG,class-H,type-S,4,62,35.0,0.7265775698980108
2398,3,P17_image-1_type-O_class-M.JPG,class-M,type-O,4,67,6.0,0.24113908143407548
2399,3,P17_image-2_type-S_class-M.JPG,class-M,type-S,4,67,6.0,0.7224819358814282
2400,3,P17_image-3_type-I_class-H.JPG,class-H,type-I,4,67,6.0,1.3523655734798004
2401,3,P17_image-4_type-S_class-H.JPG,class-H,type-S,4,67,6.0,1.113712018322809
2402,3,P17_image-5_type-O_class-C.JPG,class-C,type-O,4,67,6.0,0.12983930555926204
2403,3,P17_image-6_type-I_class-F.JPG,class-F,type-I,4,67,6.0,0.28970093576274736
2404,2,P18_image-1_type-O_class-F.JPG,class-F,type-O,4,53,20.0,0.7338878318627287
2405,2,P18_image-2_type-S_class-C.JPG,class-C,type-S,4,53,20.0,0.7803330055962635
2406,2,P18_image-3_type-O_class-C.JPG,class-C,type-O,4,53,20.0,0.025226642114876796
2407,2,P18_image-4_type-I_class-M.JPG,class-M,type-I,4,53,20.0,0.33394826034647784
2408,2,P18_image-5_type-I_class-H.JPG,class-H,type-I,4,53,20.0,1.1172836333552947
2409,2,P18_image-6_type-S_class-M.JPG,class-M,type-S,4,53,20.0,0.43181293143272514
2410,4,P19_image-1_type-O_class-F.JPG,class-F,type-O,4,71,15.0,1.1231114448652413
