,style,layer,dist
500,1,3,0.3286875241576519
501,1,3,0.15147015752556015
502,1,3,0.1639273962861909
503,1,3,0.09728820419062234
504,1,3,0.37771227054813106
505,1,4,0.31853901332969525
506,1,4,0.3605813007290979
507,1,4,1.1288125873971517
508,1,4,0.8608552338326799
509,1,4,0.11285803910931025
510,1,4,0.5790823216544179
511,1,4,0.5305604709537772
512,1,4,1.4691854681629253
513,1,4,0.5804118400227704
514,1,4,0.06311180037338815
515,1,4,0.758812951091747
516,1,4,0.0921818926377116
517,1,4,0.0884157970649001
518,1,4,0.7791602895121588
519,1,4,0.02651214124165613
520,1,4,0.7392176090199041
521,1,4,0.07868950994931978
522,1,4,0.5788039866331753
523,1,4,0.3563670552439192
524,1,4,0.2910715585704582
525,1,4,0.11600868930126651
526,1,4,0.8397480875718818
527,1,4,0.11143144825909634
528,1,4,0.2942669861770282
529,1,4,0.14228842394980512
530,1,4,0.07389514276057474
531,1,4,1.2512935490479928
532,1,4,0.21320042876641654
533,1,4,0.4439836818978038
534,1,4,0.0846111642086329
535,1,4,0.05250317187567821
536,1,4,1.0079812790637734
537,1,4,0.15347731609437998
538,1,4,0.918278720320087
539,1,4,0.0477046872424749
540,1,4,0.35259553930711374
541,1,4,0.32933993932684824
542,1,4,0.08968879668077956
543,1,4,0.8345049460329151
544,1,4,0.8065023054310534
545,1,4,0.5175586099251271
546,1,4,0.09556435040062172
547,1,4,1.2317331544403902
548,1,4,0.1059368907666699
549,1,4,0.20907532499041814
550,1,4,0.56158724016926
551,1,4,0.17399462135809562
552,1,4,1.1813950590537199
553,1,4,0.03952199846139237
554,1,4,0.6935231058927191
555,1,4,0.33394826034647784
556,1,4,0.6359544356192722
557,1,4,0.43330300651017717
558,1,4,0.1109303222429896
559,1,4,0.24966704014505492
560,1,4,1.2707883613752753
561,1,4,0.605636391318914
562,1,4,0.7419972298731194
563,1,4,0.04617049508756044
564,1,4,0.2215311908800176
565,1,4,0.24894812683845224
566,1,4,0.2761802272635
567,1,4,1.1654422692374429
568,1,4,0.30867192395175014
569,1,4,1.1172836333552947
570,1,4,1.4120837031522997
571,1,4,0.6359108237538289
572,1,4,0.4162611092636287
573,1,4,0.22358743412291604
574,1,4,0.1368604688185191
575,1,4,0.6064043662278149
576,1,4,0.21391781387129594
577,1,4,1.261435805253372
578,1,4,0.05760329361312566
579,1,4,0.1630734401047027
580,1,4,0.0628853801318181
